-16,"-16,"
-16,"-16,"
-16,"-16,"
-16,"-16,"
-16,"-16,"
-11,"-11,"
0,"0,"
11,"11,"
27,"27,"
49,"49,"
71,"71,"
104,"104,"
137,"137,"
181,"181,"
225,"225,"
280,"280,"
346,"346,"
412,"412,"
489,"489,"
577,"577,"
665,"665,"
770,"770,"
874,"874,"
990,"990,"
1111,"1111,"
1237,"1237,"
1374,"1374,"
1512,"1512,"
1660,"1660,"
1809,"1809,"
1957,"1957,"
2111,"2111,"
2271,"2271,"
2425,"2425,"
2579,"2579,"
2732,"2732,"
2881,"2881,"
3029,"3029,"
3172,"3172,"
3304,"3304,"
3431,"3431,"
3552,"3552,"
3656,"3656,"
3755,"3755,"
3843,"3843,"
3920,"3920,"
3981,"3981,"
4030,"4030,"
4069,"4069,"
4085,"4085,"
4096,"4096,"
4085,"4085,"
4069,"4069,"
4030,"4030,"
3981,"3981,"
3920,"3920,"
3843,"3843,"
3755,"3755,"
3656,"3656,"
3552,"3552,"
3431,"3431,"
3304,"3304,"
3172,"3172,"
3029,"3029,"
2881,"2881,"
2732,"2732,"
2579,"2579,"
2425,"2425,"
2271,"2271,"
2111,"2111,"
1957,"1957,"
1809,"1809,"
1660,"1660,"
1512,"1512,"
1374,"1374,"
1237,"1237,"
1111,"1111,"
990,"990,"
874,"874,"
770,"770,"
665,"665,"
577,"577,"
489,"489,"
412,"412,"
346,"346,"
280,"280,"
225,"225,"
181,"181,"
137,"137,"
104,"104,"
71,"71,"
49,"49,"
27,"27,"
11,"11,"
0,"0,"
-11,"-11,"
-16,"-16,"
-16,"-16,"
-16,"-16,"
-16,"-16,"
-16,"-16,"
